zotuID,Domain,Phylum,Class,Order,Family,Genus
Zotu11326,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales,Saccharimonadales
Zotu11404,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Confluentibacter
Zotu11922,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_4,Crassaminicella
Zotu11939,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae
Zotu12058,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast,Chloroplast
Zotu12111,Bacteria,Planctomycetes,Planctomycetacia,Isosphaerales,Isosphaeraceae,Unc
Zotu12228,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,0319-6G20
Zotu12445,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter
Zotu1247,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,Tepidisphaeraceae_Unc
Zotu12579,Bacteria,Chloroflexi,Chloroflexia,Kallotenuales,AKIW781,AKIW781
Zotu12668,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Anaeromyxobacter
Zotu12764,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium
Zotu12772,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus
Zotu12800,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Nannocystaceae_Unc
Zotu12950,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfosporosinus
Zotu12966,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,BIrii41,BIrii41
Zotu13161,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae
Zotu13361,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfosporosinus
Zotu13764,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillaceae_Unc
Zotu13876,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Lautropia
Zotu14045,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Hymenobacteraceae,Pontibacter
Zotu14237,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,Cryomorpha
Zotu14238,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter
Zotu14341,Bacteria,Actinobacteria,Nitriliruptoria,Euzebyales,Euzebyaceae,Euzebyaceae_Unc
Zotu14797,Bacteria,Chloroflexi,Gitt-GS-136,Gitt-GS-136,Gitt-GS-136,Gitt-GS-136
Zotu14972,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Gillisia
Zotu15059,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
Zotu2641,Bacteria,Chloroflexi,Gitt-GS-136,Gitt-GS-136,Gitt-GS-136,Gitt-GS-136
Zotu3059,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas
Zotu3410,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Gillisia
Zotu3781,Bacteria,Proteobacteria,Alphaproteobacteria,Unc,Unc,Unc
Zotu3959,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,JG30-KF-CM45
Zotu4203,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Unc,Unc
Zotu4357,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,Thermomicrobiaceae,Thermomicrobiaceae_Unc
Zotu4530,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,Unc
Zotu4532,Bacteria,Actinobacteria,Acidimicrobiia,IMCC26256,IMCC26256,IMCC26256
Zotu4672,Bacteria,Planctomycetes,Planctomycetacia,Isosphaerales,Isosphaeraceae,Isosphaeraceae_Unc
Zotu4789,Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,Unc
Zotu4937,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Aquipuribacter
Zotu4987,Bacteria,FBP,FBP,FBP,FBP,FBP
Zotu4993,Bacteria,Actinobacteria,Actinobacteria_Unc,Actinobacteria_Unc,Actinobacteria_Unc,Actinobacteria_Unc
Zotu5007,Bacteria,Gemmatimonadetes,Longimicrobia,Longimicrobiales,Longimicrobiaceae,Longimicrobiaceae
Zotu5011,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola
Zotu5045,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,Tepidisphaeraceae
Zotu5089,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cytophagaceae,Cytophaga
Zotu5137,Bacteria,Actinobacteria,Nitriliruptoria,Euzebyales,Euzebyaceae,Unc
Zotu5177,Bacteria,Planctomycetes,Planctomycetacia,Isosphaerales,Isosphaeraceae,Unc
Zotu5283,Bacteria,Actinobacteria,Nitriliruptoria,Euzebyales,Euzebyaceae,Unc
